identifier	name	url	n_genes	n_coding_genes	source	license	genes	coding_genes
WP5115	Network map of SARS CoV 2 signaling pathway	https://www.wikipathways.org/instance/WP5115	218	218	wikipathways	CC BY 3.0	10038|10344|10379|10394|10410|1051|10563|10666|10850|10964|11119|11345|114548|116844|1234|1235|1294|1369|1401|1508|1509|1514|1522|183|1843|1958|196|1974|1977|1978|207|213|2243|2244|2247|2266|22861|2335|23367|2353|23586|2475|2534|2537|27072|2811|29110|2919|2920|2921|2934|3043|3045|3075|3091|3122|3123|3127|3240|3273|3312|332|335|336|341|3426|3429|3434|3456|3458|347|3486|350|3543|3552|3553|3565|3567|3569|3574|3576|3577|3578|3579|3586|3592|3596|3603|3605|3606|3627|3654|3661|3675|3699|3700|3716|3717|3725|3726|3929|3932|3959|4086|4090|4283|4599|4615|4775|4791|4914|4939|5054|50616|51028|5104|51156|51512|5196|5199|54541|54663|55240|55823|5588|55922|55937|5599|5743|57506|57521|57617|5777|58191|5879|59067|59272|60|6009|6194|6237|6241|6288|6289|629|6346|6347|6348|6351|6352|6355|6356|6359|6364|6366|6367|637|6372|6374|6387|6403|64135|64223|64386|64601|64798|65082|6772|684|7018|7048|708|71|7124|715|716|7173|7186|7187|7189|7216|7226|731|7535|7850|814|81631|836|83737|838|8408|841|842|84335|84433|84985|8517|8519|8542|8554|8631|8743|8807|891|90865|9133|914|916|917|919|920|925|926|929|9332|9540|9776|983	10038|10344|10379|10394|10410|1051|10563|10666|10850|10964|11119|11345|114548|116844|1234|1235|1294|1369|1401|1508|1509|1514|1522|183|1843|1958|196|1974|1977|1978|207|213|2243|2244|2247|2266|22861|2335|23367|2353|23586|2475|2534|2537|27072|2811|29110|2919|2920|2921|2934|3043|3045|3075|3091|3122|3123|3127|3240|3273|3312|332|335|336|341|3426|3429|3434|3456|3458|347|3486|350|3543|3552|3553|3565|3567|3569|3574|3576|3577|3578|3579|3586|3592|3596|3603|3605|3606|3627|3654|3661|3675|3699|3700|3716|3717|3725|3726|3929|3932|3959|4086|4090|4283|4599|4615|4775|4791|4914|4939|5054|50616|51028|5104|51156|51512|5196|5199|54541|54663|55240|55823|5588|55922|55937|5599|5743|57506|57521|57617|5777|58191|5879|59067|59272|60|6009|6194|6237|6241|6288|6289|629|6346|6347|6348|6351|6352|6355|6356|6359|6364|6366|6367|637|6372|6374|6387|6403|64135|64223|64386|64601|64798|65082|6772|684|7018|7048|708|71|7124|715|716|7173|7186|7187|7189|7216|7226|731|7535|7850|814|81631|836|83737|838|8408|841|842|84335|84433|84985|8517|8519|8542|8554|8631|8743|8807|891|90865|9133|914|916|917|919|920|925|926|929|9332|9540|9776|983
WP5116	SARS CoV 2 B 1 1 7 variant antagonises innate immune activation	https://www.wikipathways.org/instance/WP5116	9	9	wikipathways	CC BY 3.0	23586|29110|3456|3661|57506|7187|7189|9641|9868	23586|29110|3456|3661|57506|7187|7189|9641|9868
WP5117	Cohesin complex Cornelia de Lange syndrome	https://www.wikipathways.org/instance/WP5117	34	34	wikipathways	CC BY 3.0	10734|10735|113130|114799|151246|151648|157570|23047|23063|23244|23383|25836|27127|324|5347|5515|5516|5518|5519|5524|5525|5526|5527|5528|5529|55869|5885|8243|9126|9212|9232|9700|983|9985	10734|10735|113130|114799|151246|151648|157570|23047|23063|23244|23383|25836|27127|324|5347|5515|5516|5518|5519|5524|5525|5526|5527|5528|5529|55869|5885|8243|9126|9212|9232|9700|983|9985
WP5118	SMC1 SMC3 role in DNA damage Cornelia de Lange Syndrome	https://www.wikipathways.org/instance/WP5118	11	11	wikipathways	CC BY 3.0	10111|22976|4361|4683|472|56852|5885|672|8243|9126|9656	10111|22976|4361|4683|472|56852|5885|672|8243|9126|9656
WP5119	NIPBL role in DNA damage Cornelia de Lange syndrome	https://www.wikipathways.org/instance/WP5119	8	8	wikipathways	CC BY 3.0	11335|165918|25836|3014|472|545|9025|9656	11335|165918|25836|3014|472|545|9025|9656
WP5120	Inclusion body myositis	https://www.wikipathways.org/instance/WP5120	11	11	wikipathways	CC BY 3.0	23385|23411|23621|2660|351|4137|4790|4791|55851|5663|5664	23385|23411|23621|2660|351|4137|4790|4791|55851|5663|5664
WP5121	Sphingolipid metabolism in senescence	https://www.wikipathways.org/instance/WP5121	28	28	wikipathways	CC BY 3.0	1017|1019|1026|10557|10558|166929|1869|1901|23236|2475|2531|2629|2720|29956|427|53637|55512|5578|5579|5594|5925|7015|7357|79603|81537|8560|8877|9294	1017|1019|1026|10557|10558|166929|1869|1901|23236|2475|2531|2629|2720|29956|427|53637|55512|5578|5579|5594|5925|7015|7357|79603|81537|8560|8877|9294
WP5122	Prostaglandin and leukotriene metabolism in senescence 	https://www.wikipathways.org/instance/WP5122	31	31	wikipathways	CC BY 3.0	1026|10800|109|127281|23236|23411|239|240|241|246|247|2770|2776|2778|3265|3488|4048|4056|5321|5600|5730|5731|5732|5733|5734|5740|5742|5743|5925|6916|9536	1026|10800|109|127281|23236|23411|239|240|241|246|247|2770|2776|2778|3265|3488|4048|4056|5321|5600|5730|5731|5732|5733|5734|5740|5742|5743|5925|6916|9536
WP5123	Mitochondrial fatty acid oxidation disorders	https://www.wikipathways.org/instance/WP5123	19	19	wikipathways	CC BY 3.0	1374|1376|1632|1962|2180|2181|2182|3030|3032|3033|33|34|35|37|55825|6342|6584|788|80221	1374|1376|1632|1962|2180|2181|2182|3030|3032|3033|33|34|35|37|55825|6342|6584|788|80221
WP5124	Alzheimer 39 s disease	https://www.wikipathways.org/instance/WP5124	263	261	wikipathways	CC BY 3.0	10000|10023|100874369|10105|101929777|102|1020|10213|10297|10313|10376|10381|10382|10383|10888|11047|11211|112714|113457|1139|1147|122011|143471|1435|1452|1454|1457|1459|1460|147700|1499|1536|163688|1649|177|1855|1856|1857|1965|203068|207|208|2081|22863|22926|22943|23130|23236|23385|23401|23621|2475|2535|2597|26100|27035|27121|27123|2776|283106|2902|2903|2904|2905|2906|291|292|293|2932|29982|3028|30849|317|322|324|3265|3416|347688|347733|348|351|355|3551|3552|3553|3569|3630|3643|3667|369|3708|3709|3710|3798|3799|3800|3831|3845|4023|4035|4040|4041|4137|4217|4311|441925|468|4790|4842|4843|487|488|489|4893|50507|51107|51384|51806|51807|5289|5290|5291|5293|5295|5296|5330|5331|5332|54205|54361|5481|55062|55102|5530|5532|5533|5534|5535|55626|55851|5594|5595|5599|5601|5602|5604|5605|5609|5610|5663|5664|5682|5683|5684|5685|5686|5687|5688|5689|5690|5691|5692|5693|5694|5695|5700|5701|5702|5704|5705|5706|5707|5708|5709|5710|5713|5714|57142|5715|5718|5719|572|5743|5894|5970|60673|6263|637|6424|64837|6622|673|6868|7124|7132|7186|7277|7278|7280|7416|7417|7419|7471|7472|7473|7474|7475|7476|7477|7480|7481|7482|7494|775|776|778|779|7846|7855|7976|7979|79861|801|80326|805|808|810|81027|81029|823|824|8312|8313|8321|8323|8324|8325|8326|83447|83464|836|840|8408|841|842|84617|8471|84790|8503|8660|8678|8772|8851|8883|89780|89953|90550|91860|9451|9706|9776|9821|9861	10000|10023|10105|102|1020|10213|10297|10313|10376|10381|10382|10383|10888|11047|11211|112714|113457|1139|1147|122011|143471|1435|1452|1454|1457|1459|1460|147700|1499|1536|163688|1649|177|1855|1856|1857|1965|203068|207|208|2081|22863|22926|22943|23130|23236|23385|23401|23621|2475|2535|2597|26100|27035|27121|27123|2776|283106|2902|2903|2904|2905|2906|291|292|293|2932|29982|3028|30849|317|322|324|3265|3416|347688|347733|348|351|355|3551|3552|3553|3569|3630|3643|3667|369|3708|3709|3710|3798|3799|3800|3831|3845|4023|4035|4040|4041|4137|4217|4311|441925|468|4790|4842|4843|487|488|489|4893|50507|51107|51384|51806|51807|5289|5290|5291|5293|5295|5296|5330|5331|5332|54205|54361|5481|55062|55102|5530|5532|5533|5534|5535|55626|55851|5594|5595|5599|5601|5602|5604|5605|5609|5610|5663|5664|5682|5683|5684|5685|5686|5687|5688|5689|5690|5691|5692|5693|5694|5695|5700|5701|5702|5704|5705|5706|5707|5708|5709|5710|5713|5714|57142|5715|5718|5719|572|5743|5894|5970|60673|6263|637|6424|64837|6622|673|6868|7124|7132|7186|7277|7278|7280|7416|7417|7419|7471|7472|7473|7474|7475|7476|7477|7480|7481|7482|7494|775|776|778|779|7846|7855|7976|7979|79861|801|80326|805|808|810|81027|81029|823|824|8312|8313|8321|8323|8324|8325|8326|83447|83464|836|840|8408|841|842|84617|8471|84790|8503|8660|8678|8772|8851|8883|89780|89953|90550|91860|9451|9706|9776|9821|9861
WP5130	Th17 cell differentiation pathway	https://www.wikipathways.org/instance/WP5130	70	69	wikipathways	CC BY 3.0	100506403|112744|1407|1432|149233|196|2353|246778|2475|2625|27040|30009|3091|3108|3320|3458|3459|3551|3553|3558|3559|3565|3566|3569|3570|3605|3662|3716|3717|3725|3932|406|4087|4772|4783|4790|4792|50615|50616|50943|51561|5187|5335|5530|5588|5594|5599|59067|5914|6095|6097|6256|6772|6774|6776|6778|7040|7046|7297|7535|861|9021|915|916|917|919|920|9466|9572|9575	112744|1407|1432|149233|196|2353|246778|2475|2625|27040|30009|3091|3108|3320|3458|3459|3551|3553|3558|3559|3565|3566|3569|3570|3605|3662|3716|3717|3725|3932|406|4087|4772|4783|4790|4792|50615|50616|50943|51561|5187|5335|5530|5588|5594|5599|59067|5914|6095|6097|6256|6772|6774|6776|6778|7040|7046|7297|7535|861|9021|915|916|917|919|920|9466|9572|9575
WP5133	Non classical role of vitamin D	https://www.wikipathways.org/instance/WP5133	8	8	wikipathways	CC BY 3.0	120227|1594|1636|183|185|186|59272|5972	120227|1594|1636|183|185|186|59272|5972
WP5136	ALA oxylipin metabolism	https://www.wikipathways.org/instance/WP5136	3	3	wikipathways	CC BY 3.0	2053|240|246	2053|240|246
WP5143	GDNF signaling	https://www.wikipathways.org/instance/WP5143	1	1	wikipathways	CC BY 3.0	2331	2331
WP5144	NRP1 triggered signaling pathways in pancreatic cancer 	https://www.wikipathways.org/instance/WP5144	53	53	wikipathways	CC BY 3.0	10000|1003|1017|1027|10371|1105|1106|1277|1278|1490|1950|1956|207|208|2321|2931|3082|3791|4087|4088|4089|4233|4313|4318|4790|4791|5175|5361|5362|55630|5594|5595|5604|5605|5747|5879|5966|5970|5971|6591|6615|6714|7042|7043|7046|7048|7049|7422|8829|898|9134|91584|9564	10000|1003|1017|1027|10371|1105|1106|1277|1278|1490|1950|1956|207|208|2321|2931|3082|3791|4087|4088|4089|4233|4313|4318|4790|4791|5175|5361|5362|55630|5594|5595|5604|5605|5747|5879|5966|5970|5971|6591|6615|6714|7042|7043|7046|7048|7049|7422|8829|898|9134|91584|9564
WP5149	Lipid metabolism in senescent cells	https://www.wikipathways.org/instance/WP5149	20	20	wikipathways	CC BY 3.0	1026|123745|240|255189|26279|283748|3265|50487|5319|5321|5322|5743|6578|7157|7941|81579|8398|8399|84647|8605	1026|123745|240|255189|26279|283748|3265|50487|5319|5321|5322|5743|6578|7157|7941|81579|8398|8399|84647|8605
WP5152	Iron sulfur cluster biogenesis	https://www.wikipathways.org/instance/WP5152	15	15	wikipathways	CC BY 3.0	10101|150274|22|2230|2232|23479|2395|26502|27247|3313|4682|51218|51647|57128|9054	10101|150274|22|2230|2232|23479|2395|26502|27247|3313|4682|51218|51647|57128|9054
WP5153	N glycan biosynthesis	https://www.wikipathways.org/instance/WP5153	57	57	wikipathways	CC BY 3.0	10195|10905|11253|11282|11320|144245|146664|152586|1603|1650|1798|199857|201595|22845|23193|2530|25834|2683|2821|29880|29925|29926|29929|3703|4121|4122|4124|4245|4247|4248|4249|4351|440138|5373|54344|56052|57134|57171|6184|6185|6480|7841|79053|79087|79644|79796|79868|7991|84620|84920|85365|8703|8704|8813|8818|91869|9526	10195|10905|11253|11282|11320|144245|146664|152586|1603|1650|1798|199857|201595|22845|23193|2530|25834|2683|2821|29880|29925|29926|29929|3703|4121|4122|4124|4245|4247|4248|4249|4351|440138|5373|54344|56052|57134|57171|6184|6185|6480|7841|79053|79087|79644|79796|79868|7991|84620|84920|85365|8703|8704|8813|8818|91869|9526
WP5154	Docosahexaenoic acid oxylipin metabolism	https://www.wikipathways.org/instance/WP5154	2	2	wikipathways	CC BY 3.0	2053|5743	2053|5743
WP5155	Arachidonic acid AA ARA oxylipin metabolism	https://www.wikipathways.org/instance/WP5155	4	4	wikipathways	CC BY 3.0	2053|5742|5743|6916	2053|5742|5743|6916
WP5156	SARS CoV 2 replication organelle formation	https://www.wikipathways.org/instance/WP5156	1	1	wikipathways	CC BY 3.0	30849	30849
WP5158	Urotensin II mediated signaling pathway	https://www.wikipathways.org/instance/WP5158	69	69	wikipathways	CC BY 3.0	10014|1017|10911|1147|1277|1280|1281|1387|1432|1499|1535|1536|1649|185|19|1956|2033|207|2335|240|2837|2931|2932|3162|3306|3383|3551|3553|3569|3661|3717|387|4087|4088|4313|4318|4688|4689|4790|4878|4879|50507|5111|5350|5566|5594|5595|5599|5601|5728|5781|581|59|596|5970|653361|6624|6774|7040|7124|7223|7412|815|836|842|84883|898|9700|983	10014|1017|10911|1147|1277|1280|1281|1387|1432|1499|1535|1536|1649|185|19|1956|2033|207|2335|240|2837|2931|2932|3162|3306|3383|3551|3553|3569|3661|3717|387|4087|4088|4313|4318|4688|4689|4790|4878|4879|50507|5111|5350|5566|5594|5595|5599|5601|5728|5781|581|59|596|5970|653361|6624|6774|7040|7124|7223|7412|815|836|842|84883|898|9700|983
WP516	Hypertrophy model	https://www.wikipathways.org/instance/WP516	20	20	wikipathways	CC BY 3.0	102|11072|1839|1977|1978|2660|27063|3458|3475|3491|3552|3554|3606|3727|4656|467|6935|7422|8013|9948	102|11072|1839|1977|1978|2660|27063|3458|3475|3491|3552|3554|3606|3727|4656|467|6935|7422|8013|9948
WP5166	Glyoxylate metabolism	https://www.wikipathways.org/instance/WP5166	11	11	wikipathways	CC BY 3.0	10861|112817|1610|189|2806|3939|54363|5827|58510|8659|9380	10861|112817|1610|189|2806|3939|54363|5827|58510|8659|9380
WP5169	Hemesynthesis defects and porphyrias	https://www.wikipathways.org/instance/WP5169	9	9	wikipathways	CC BY 3.0	1371|210|211|212|2235|3145|5498|7389|7390	1371|210|211|212|2235|3145|5498|7389|7390
WP5171	Leukotriene metabolic pathway	https://www.wikipathways.org/instance/WP5171	13	13	wikipathways	CC BY 3.0	1666|1800|22949|240|241|26063|2678|2687|4048|4051|4056|4363|64174	1666|1800|22949|240|241|26063|2678|2687|4048|4051|4056|4363|64174
WP5172	Iron metabolism disorders	https://www.wikipathways.org/instance/WP5172	17	17	wikipathways	CC BY 3.0	1356|148738|2495|2512|30061|3077|4891|55240|57817|617|7018|7036|7037|7386|79901|80025|9843	1356|148738|2495|2512|30061|3077|4891|55240|57817|617|7018|7036|7037|7386|79901|80025|9843
WP5173	Disorders of galactose metabolism 	https://www.wikipathways.org/instance/WP5173	13	13	wikipathways	CC BY 3.0	231|2582|2584|2592|2632|2992|2997|2998|5236|5836|6514|6523|8908	231|2582|2584|2592|2632|2992|2997|2998|5236|5836|6514|6523|8908
WP5174	Ulcerative colitis signaling	https://www.wikipathways.org/instance/WP5174	18	18	wikipathways	CC BY 3.0	2625|3108|3458|3561|3565|3566|3567|3586|3596|4094|4772|4790|50943|64127|6778|7040|7097|7124	2625|3108|3458|3561|3565|3566|3567|3586|3596|4094|4772|4790|50943|64127|6778|7040|7097|7124
WP5176	Disorders of bile acid synthesis and biliary transport	https://www.wikipathways.org/instance/WP5176	29	29	wikipathways	CC BY 3.0	10257|10599|10998|11001|1109|123264|1244|1581|1582|1593|200931|2172|23600|28234|3295|5205|5243|5244|570|5825|6342|6554|6555|6718|80270|8309|8647|8714|9420	10257|10599|10998|11001|1109|123264|1244|1581|1582|1593|200931|2172|23600|28234|3295|5205|5243|5244|570|5825|6342|6554|6555|6718|80270|8309|8647|8714|9420
WP5178	Disorders of fructose metabolism	https://www.wikipathways.org/instance/WP5178	14	14	wikipathways	CC BY 3.0	132158|216|2203|229|2538|2821|3098|3795|5211|5236|6514|6523|6652|7167	132158|216|2203|229|2538|2821|3098|3795|5211|5236|6514|6523|6652|7167
WP5179	Biosynthesis and turnover of 1 deoxy sphingoid bases	https://www.wikipathways.org/instance/WP5179	8	8	wikipathways	CC BY 3.0	10558|130367|2531|427|56848|81537|8877|9517	10558|130367|2531|427|56848|81537|8877|9517
WP5180	DYRK1A involvement regarding cell proliferation in brain development	https://www.wikipathways.org/instance/WP5180	62	62	wikipathways	CC BY 3.0	1019|1021|10238|10253|1027|132660|1385|1408|1452|1759|1859|1874|1875|2247|2308|23132|23385|23411|23621|2475|26524|273|2735|28514|286826|2932|3020|3092|3280|351|388585|4137|4772|4851|51053|51107|51270|55851|55957|5663|57521|5928|5933|5934|595|5978|63973|64223|64798|6598|7023|7027|7029|7157|7248|7249|836|842|84335|8893|91750|92737	1019|1021|10238|10253|1027|132660|1385|1408|1452|1759|1859|1874|1875|2247|2308|23132|23385|23411|23621|2475|26524|273|2735|28514|286826|2932|3020|3092|3280|351|388585|4137|4772|4851|51053|51107|51270|55851|55957|5663|57521|5928|5933|5934|595|5978|63973|64223|64798|6598|7023|7027|7029|7157|7248|7249|836|842|84335|8893|91750|92737
WP5181	Roles of ceramides in development of insulin resistance	https://www.wikipathways.org/instance/WP5181	23	23	wikipathways	CC BY 3.0	1375|207|2081|2180|3630|3643|3651|3667|389692|5295|53632|5515|55512|5590|5599|5610|6198|6517|7124|7132|7185|8660|948	1375|207|2081|2180|3630|3643|3651|3667|389692|5295|53632|5515|55512|5590|5599|5610|6198|6517|7124|7132|7185|8660|948
WP5182	Pro survival signaling of neuroprotectin D1	https://www.wikipathways.org/instance/WP5182	15	15	wikipathways	CC BY 3.0	11035|330|54205|5516|581|7124|7132|7186|836|840|841|842|8717|8737|8772	11035|330|54205|5516|581|7124|7132|7186|836|840|841|842|8717|8737|8772
WP5183	SARS CoV 2 mitochondrial chronic oxidative stress and endothelial dysfunction	https://www.wikipathways.org/instance/WP5183	26	26	wikipathways	CC BY 3.0	114548|1636|183|27035|28976|340061|3569|3606|4790|51103|51295|51548|5245|54386|57506|59272|5972|617|6195|7014|7124|7187|7189|79671|91942|9868	114548|1636|183|27035|28976|340061|3569|3606|4790|51103|51295|51548|5245|54386|57506|59272|5972|617|6195|7014|7124|7187|7189|79671|91942|9868
WP5186	Vitamin K metabolism and activation of dependent proteins	https://www.wikipathways.org/instance/WP5186	13	13	wikipathways	CC BY 3.0	154807|1728|2147|2155|2158|2159|2677|29914|5624|5627|79001|84883|8858	154807|1728|2147|2155|2158|2159|2677|29914|5624|5627|79001|84883|8858
WP5187	mRNA vaccine activation of dendritic cell and induction of IFN 1	https://www.wikipathways.org/instance/WP5187	10	10	wikipathways	CC BY 3.0	23586|3140|3661|3665|51284|51311|57506|64135|7098|8792	23586|3140|3661|3665|51284|51311|57506|64135|7098|8792
WP5189	Copper metabolism	https://www.wikipathways.org/instance/WP5189	4	4	wikipathways	CC BY 3.0	1317|4891|538|540	1317|4891|538|540
WP5190	Creatine pathway	https://www.wikipathways.org/instance/WP5190	5	5	wikipathways	CC BY 3.0	1152|2593|2628|4942|6535	1152|2593|2628|4942|6535
WP5191	Resolvin E1 and resolvin D1 signaling pathways promoting inflammation resolution	https://www.wikipathways.org/instance/WP5191	12	12	wikipathways	CC BY 3.0	1240|1241|2048|207|2358|2475|5163|5290|5291|5293|5294|6011	1240|1241|2048|207|2358|2475|5163|5290|5291|5293|5294|6011
WP5192	Modulation of PI3K Akt mTOR signaling by bioactive sphingolipids	https://www.wikipathways.org/instance/WP5192	15	15	wikipathways	CC BY 3.0	10715|1901|1903|207|2475|286223|3091|3480|4790|5290|5337|56624|56848|64781|7248	10715|1901|1903|207|2475|286223|3091|3480|4790|5290|5337|56624|56848|64781|7248
WP5193	Cholesterol synthesis disorders	https://www.wikipathways.org/instance/WP5193	18	18	wikipathways	CC BY 3.0	10654|10682|1595|1717|1718|2222|2224|3156|3157|3284|3422|3930|4047|4597|4598|6307|6309|6713	10654|10682|1595|1717|1718|2222|2224|3156|3157|3284|3422|3930|4047|4597|4598|6307|6309|6713
WP5194	Synthesis of ceramides and 1 deoxyceramides	https://www.wikipathways.org/instance/WP5194	22	22	wikipathways	CC BY 3.0	10558|10715|127550|166929|1674|204219|2531|253782|2583|259230|2683|29956|427|53947|64781|7357|7368|79603|84002|8694|8877|91012	10558|10715|127550|166929|1674|204219|2531|253782|2583|259230|2683|29956|427|53947|64781|7357|7368|79603|84002|8694|8877|91012
WP5198	Inflammatory bowel disease signaling	https://www.wikipathways.org/instance/WP5198	42	42	wikipathways	CC BY 3.0	112744|149233|2625|30009|3108|3458|3459|3552|3558|3561|3565|3566|3567|3569|3586|3592|3594|3596|3606|3725|4087|4094|4772|4790|50615|50616|50943|51561|59067|6095|6097|64127|6772|6774|6775|6778|7040|7097|7099|7100|7124|8807	112744|149233|2625|30009|3108|3458|3459|3552|3558|3561|3565|3566|3567|3569|3586|3592|3594|3596|3606|3725|4087|4094|4772|4790|50615|50616|50943|51561|59067|6095|6097|64127|6772|6774|6775|6778|7040|7097|7099|7100|7124|8807
WP5199	PtdIns 4 5 P2 in cytokinesis pathway	https://www.wikipathways.org/instance/WP5199	12	12	wikipathways	CC BY 3.0	11021|29127|387|4478|4633|4735|4952|54443|5962|60312|7430|9493	11021|29127|387|4478|4633|4735|4952|54443|5962|60312|7430|9493
WP5200	Dravet syndrome	https://www.wikipathways.org/instance/WP5200	28	28	wikipathways	CC BY 3.0	1106|207|2258|2475|253260|348980|3737|4790|5290|55615|5578|55800|5600|57526|6323|6324|6326|6327|6328|6330|6334|64223|6812|7124|79109|79899|801|815	1106|207|2258|2475|253260|348980|3737|4790|5290|55615|5578|55800|5600|57526|6323|6324|6326|6327|6328|6330|6334|64223|6812|7124|79109|79899|801|815
WP5202	Alstrom syndrome	https://www.wikipathways.org/instance/WP5202	34	34	wikipathways	CC BY 3.0	100528062|11020|11159|114928|128344|1874|23432|23557|26052|26160|26258|2647|28981|353116|4645|51668|55125|55330|55968|5727|5989|5990|5991|6608|6811|7029|7283|7415|7840|80124|80173|81|84062|84984	100528062|11020|11159|114928|128344|1874|23432|23557|26052|26160|26258|2647|28981|353116|4645|51668|55125|55330|55968|5727|5989|5990|5991|6608|6811|7029|7283|7415|7840|80124|80173|81|84062|84984
WP5205	Clock controlled autophagy in bone metabolism	https://www.wikipathways.org/instance/WP5205	80	80	wikipathways	CC BY 3.0	10131|10371|10507|10533|115908|121340|128338|1407|1435|1489|1513|1948|207|22943|2475|3146|3479|3562|3569|3717|3920|393|3952|4041|406|4086|4089|4090|4093|4772|4851|4862|4982|50964|51384|5176|5187|5289|55054|55626|5563|56955|5741|596|60673|6096|64422|650|651|652|653|654|659|7040|7189|7415|7474|7480|79365|79443|796|81631|83734|8408|84557|84938|8553|860|8600|8646|8678|8792|8878|9140|9474|9575|9776|9821|9842|9975	10131|10371|10507|10533|115908|121340|128338|1407|1435|1489|1513|1948|207|22943|2475|3146|3479|3562|3569|3717|3920|393|3952|4041|406|4086|4089|4090|4093|4772|4851|4862|4982|50964|51384|5176|5187|5289|55054|55626|5563|56955|5741|596|60673|6096|64422|650|651|652|653|654|659|7040|7189|7415|7474|7480|79365|79443|796|81631|83734|8408|84557|84938|8553|860|8600|8646|8678|8792|8878|9140|9474|9575|9776|9821|9842|9975
WP521	Amino acid conjugation of benzoic acid	https://www.wikipathways.org/instance/WP521	4	4	wikipathways	CC BY 3.0	10249|219970|55902|92292	10249|219970|55902|92292
WP5211	Glucose metabolism in triple negative breast cancer cells	https://www.wikipathways.org/instance/WP5211	8	8	wikipathways	CC BY 3.0	3098|3939|5163|5214|5315|54704|6513|6566	3098|3939|5163|5214|5315|54704|6513|6566
WP5213	Amino acid metabolism in triple negative breast cancer cells	https://www.wikipathways.org/instance/WP5213	7	7	wikipathways	CC BY 3.0	23657|26227|2744|29968|5723|6510|6513	23657|26227|2744|29968|5723|6510|6513
WP5216	Warburg effect modulated by deubiquitinating enzymes and their substrates	https://www.wikipathways.org/instance/WP5216	26	26	wikipathways	CC BY 3.0	10869|11338|207|2203|2308|2475|2538|3091|3099|3791|3939|4609|51547|51633|5223|5230|5290|56957|57646|57695|6513|7422|7428|7874|78990|84101	10869|11338|207|2203|2308|2475|2538|3091|3099|3791|3939|4609|51547|51633|5223|5230|5290|56957|57646|57695|6513|7422|7428|7874|78990|84101
WP5218	Extrafollicular and follicular B cell activation by SARS CoV 2	https://www.wikipathways.org/instance/WP5218	75	73	wikipathways	CC BY 3.0	100885789|10148|102723996|10563|10673|1236|1378|1380|1401|151888|171558|1880|2113|2308|23308|283131|29760|29851|30009|3312|3394|3433|3455|3458|3558|3565|3569|3586|3592|3662|3687|3689|3732|4068|4094|4240|5079|51284|5133|57379|57823|5788|59067|604|60468|613|6363|6366|6387|639|6402|643|6776|6850|7099|7124|718|720|7494|7852|83416|8519|8741|912|9168|930|931|933|941|958|959|9636|969|973|9839	10148|102723996|10563|10673|1236|1378|1380|1401|151888|171558|1880|2113|2308|23308|29760|29851|30009|3312|3394|3433|3455|3458|3558|3565|3569|3586|3592|3662|3687|3689|3732|4068|4094|4240|5079|51284|5133|57379|57823|5788|59067|604|60468|613|6363|6366|6387|639|6402|643|6776|6850|7099|7124|718|720|7494|7852|83416|8519|8741|912|9168|930|931|933|941|958|959|9636|969|973|9839
WP5219	Diet dependent trimethylamine trimethylamine N oxide metabolism 	https://www.wikipathways.org/instance/WP5219	4	4	wikipathways	CC BY 3.0	2328|23446|501|55349	2328|23446|501|55349
WP5220	Metabolic reprogramming in pancreatic cancer	https://www.wikipathways.org/instance/WP5220	42	42	wikipathways	CC BY 3.0	10498|1431|1737|1738|2194|22934|2673|27165|2746|2805|2806|2821|2875|3098|3099|3156|3158|3845|3939|3949|4190|4199|47|5160|5162|5211|5238|5315|587|593|6120|64841|6510|6513|6566|6646|6675|7157|8050|8140|8501|9122	10498|1431|1737|1738|2194|22934|2673|27165|2746|2805|2806|2821|2875|3098|3099|3156|3158|3845|3939|3949|4190|4199|47|5160|5162|5211|5238|5315|587|593|6120|64841|6510|6513|6566|6646|6675|7157|8050|8140|8501|9122
WP5221	2q11 2 copy number variation syndrome	https://www.wikipathways.org/instance/WP5221	33	32	wikipathways	CC BY 3.0	100422928|10865|1280|1353|150771|151|1844|200539|2064|23020|23397|23654|26504|26505|387|431705|51239|51252|51647|54910|55486|55654|55683|5594|5595|56910|64210|7783|81562|84191|90342|93082|9391	10865|1280|1353|150771|151|1844|200539|2064|23020|23397|23654|26504|26505|387|431705|51239|51252|51647|54910|55486|55654|55683|5594|5595|56910|64210|7783|81562|84191|90342|93082|9391
WP5222	2q13 copy number variation syndrome	https://www.wikipathways.org/instance/WP5222	63	60	wikipathways	CC BY 3.0	10018|100616165|100616341|10461|10563|10849|129804|1435|1437|150465|150468|221830|23550|25885|2621|2625|26525|27177|27178|27179|284958|2885|30834|3552|3553|3554|3556|3557|3558|3569|376940|382|3958|51082|51561|5336|541471|5434|5435|5437|5440|5441|55289|5594|56300|5747|5879|64425|64682|6574|6772|727851|7287|80117|84172|84269|84524|84639|84910|8651|8808|9021|9533	10018|10461|10563|10849|129804|1435|1437|150465|150468|221830|23550|25885|2621|2625|26525|27177|27178|27179|284958|2885|30834|3552|3553|3554|3556|3557|3558|3569|376940|382|3958|51082|51561|5336|5434|5435|5437|5440|5441|55289|5594|56300|5747|5879|64425|64682|6574|6772|727851|7287|80117|84172|84269|84524|84639|84910|8651|8808|9021|9533
